ASVid	taxonomy
e63a86149958695048dd42c6dda2a051	"Rhizophydiomycetes_sp|UDB0221030|SH1189785.09FU|reps|k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiomycetes_ord_Incertae_sedis;f__Rhizophydiomycetes_fam_Incertae_sedis;g__Rhizophydiomycetes_gen_Incertae_sedis;s__Rhizophydiomycetes_sp"
fd013afa11e16f3ef30b692bcfc502d4	"Chytridiales_sp|UDB0744229|SH1111521.09FU|reps|k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Chytridiales;f__Chytridiales_fam_Incertae_sedis;g__Chytridiales_gen_Incertae_sedis;s__Chytridiales_sp"
fe89a0f2bc751cd41c11ef60989393f8	"Tremellales_sp|UDB07347635|SH0994210.09FU|reps|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellales_fam_Incertae_sedis;g__Tremellales_gen_Incertae_sedis;s__Tremellales_sp"
4b5cfbc96c425acc45b6ce7077cff72b	"Emericellopsis_glabra|AY632657|SH2067741.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Emericellopsis;s__Emericellopsis_glabra"
9b7de8bb4c7b2bf84e7b107f3e511394	"Mortierella_sp|UDB04927840|SH1039153.09FU|reps|k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_sp"
c7fc44b6997a0b2dc2ad77d9423eb06d	"Plectosphaerella_niemeijerarum|MG386080|SH3177378.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella;s__Plectosphaerella_niemeijerarum"
67cf8b37840048d961f193b59f83f7cd	"Wallemia_sebi|AY328915|SH0958501.09FU|refs|k__Fungi;p__Basidiomycota;c__Wallemiomycetes;o__Wallemiales;f__Wallemiaceae;g__Wallemia;s__Wallemia_sebi"
a080206018aa2c814f937f6177565a1a	"Phialophora_intermedia|MH862147|SH1504545.09FU|refs|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Phialophora;s__Phialophora_intermedia"
c482cf5b6fd6c33f451b4ca49f6afec7	"Eukaryota_sp|UDB0405801|SH1039118.09FU|reps|k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis;o__Eukaryota_ord_Incertae_sedis;f__Eukaryota_fam_Incertae_sedis;g__Eukaryota_gen_Incertae_sedis;s__Eukaryota_sp"
c02215c3ba75beeaf277d143a8fc9003	"Stachybotrys_chartarum|EF568081|SH1073994.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae;g__Stachybotrys;s__Stachybotrys_chartarum"
0a772036be5f88b1bfbee4b6c4dc39e5	"Gamsia_simplex|LM652379|SH1070220.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Gamsia;s__Gamsia_simplex"
