"","its-1_F_filt.fastq.gz","its-10_F_filt.fastq.gz","its-11_F_filt.fastq.gz","its-12_F_filt.fastq.gz","its-13_F_filt.fastq.gz","its-14_F_filt.fastq.gz","its-15_F_filt.fastq.gz","its-16_F_filt.fastq.gz","its-17_F_filt.fastq.gz","its-18_F_filt.fastq.gz","its-19_F_filt.fastq.gz","its-2_F_filt.fastq.gz","its-20_F_filt.fastq.gz","its-21_F_filt.fastq.gz","its-22_F_filt.fastq.gz","its-23_F_filt.fastq.gz","its-24_F_filt.fastq.gz","its-25_F_filt.fastq.gz","its-26_F_filt.fastq.gz","its-27_F_filt.fastq.gz","its-28_F_filt.fastq.gz","its-29_F_filt.fastq.gz","its-3_F_filt.fastq.gz","its-30_F_filt.fastq.gz","its-31_F_filt.fastq.gz","its-32_F_filt.fastq.gz","its-33_F_filt.fastq.gz","its-34_F_filt.fastq.gz","its-35_F_filt.fastq.gz","its-36_F_filt.fastq.gz","its-37_F_filt.fastq.gz","its-38_F_filt.fastq.gz","its-39_F_filt.fastq.gz","its-4_F_filt.fastq.gz","its-40_F_filt.fastq.gz","its-41_F_filt.fastq.gz","its-42_F_filt.fastq.gz","its-43_F_filt.fastq.gz","its-44_F_filt.fastq.gz","its-45_F_filt.fastq.gz","its-46_F_filt.fastq.gz","its-47_F_filt.fastq.gz","its-48_F_filt.fastq.gz","its-5_F_filt.fastq.gz","its-6_F_filt.fastq.gz","its-7_F_filt.fastq.gz","its-8_F_filt.fastq.gz","its-9_F_filt.fastq.gz","its-negC_F_filt.fastq.gz","its-posC_F_filt.fastq.gz"
"253f437cb1cf629fd6c53a691fc895e2",82,39,51,290,108,55,316,252,0,0,81,0,0,0,0,0,0,1100,873,652,365,15,0,24,13643,115,4927,1685,4114,12964,451,2839,19044,0,311,275,506,0,241,197,0,116,199,0,0,0,0,373,0,0
"647015009bc9e4af1ac3b36c0d8ca594",2970,0,91,0,113,0,50,50,617,9,34,274,265,0,67,1793,643,231,280,9500,44,0,341,0,0,0,0,110,1372,0,0,277,727,287,88,7515,8757,4590,2673,3507,6425,4828,5285,196,56,1475,94,160,0,0
"5d6d6c05afdbb3cf368a2f0a0328a077",84,0,10,10,29,0,0,0,1065,93,118,28,1388,382,1809,204,1285,926,559,251,128,0,131,5284,555,35033,0,0,32,0,14,31,10,42,10,0,9,0,10,0,15,0,0,92,119,197,100,11,0,0
"a2878a4e252dfa8b1162300ca2040ca5",432,2429,2640,3046,1858,1707,0,1187,0,2529,12,431,0,0,0,337,0,642,251,514,324,17,389,0,510,0,0,278,175,56,254,0,0,476,0,9027,8787,861,596,174,1385,211,0,444,806,589,740,1355,0,0
"47a7ae06f5a459ef43c7edca50cd84b3",127,459,391,254,250,300,189,226,1476,1484,2418,631,1032,8461,12093,5160,2639,59,62,77,59,13,651,69,484,8,5,0,0,0,0,20,2,451,7,48,43,0,6,0,6,0,0,256,674,469,473,263,0,0
"0adbc053100f448fb99ea181a8671219",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40565
"9b6786794a03f3a5c4444d2a00585971",0,4203,5536,6892,3405,2368,1417,2183,0,0,0,0,0,0,0,0,67,2297,697,932,867,24,0,123,1146,43,0,42,14,0,0,70,19,0,545,0,0,0,0,0,0,0,0,0,0,0,0,2258,0,3
"8477293711ae769ad34a86f51ba4611b",675,399,613,98,363,756,669,323,0,0,71,4039,0,0,176,0,0,9,0,61,0,2,4871,0,0,0,0,0,0,0,0,0,0,3829,0,0,0,0,0,0,0,0,0,2403,4815,4757,5310,375,0,0
"3baaa1a55f67a004e5bdf88baecff544",43,2543,2815,3239,1818,1386,1921,1386,0,0,8,129,0,39,0,0,0,1301,198,1089,404,0,146,925,11542,0,0,51,0,0,0,68,78,104,342,0,0,0,0,0,0,0,0,116,360,196,254,1523,0,0
"71edb77469cd038fef00ecaaca51e735",54,5399,4636,3469,3901,2168,1961,1683,0,30,10,105,9,4,6,0,11,836,439,2365,398,375,142,129,190,287,0,0,0,15,0,151,0,114,456,4,0,0,0,0,0,0,0,72,157,167,139,2522,0,0
"8195a1f70c2870317c4f91b532478d33",126,0,0,0,10,0,0,31,457,242,226,148,234,3623,562,2141,1361,1557,2181,4953,169,540,323,6923,707,596,9,8,0,13,20,38,0,293,30,4,14,9,0,0,0,0,0,341,438,285,361,37,0,0
"8a3eaa5f957eb0704cb2ad7d4c583e10",224,2128,2164,2260,2103,1553,2179,1126,19,884,36,635,256,82,105,149,89,273,250,498,92,0,524,61,205,0,0,0,0,33,0,66,0,538,101,2409,2127,0,0,0,0,0,0,344,937,636,1063,1075,0,0
"d89ae137d8f7904370bce103b7b29b35",163,10385,1585,1740,2428,981,851,1297,0,0,0,307,10,0,16,70,49,389,145,206,120,0,196,78,68,7,26,36,24,51,53,1218,38,249,485,0,0,0,0,10,0,0,0,153,525,278,527,1670,0,0
"9ff05adde11ddc8a435edacab1d33ccc",1408,0,0,0,0,0,0,0,66,108,0,2283,138,0,223,185,0,0,0,0,0,0,3345,0,31,0,0,0,0,0,0,0,0,2906,0,24,24,0,0,0,0,0,0,1949,4041,4209,5433,0,0,0
"8dd714098656cb192fd1e432f59a7cd1",110,42,55,63,0,0,0,0,0,9439,0,141,89,0,0,62,0,0,0,0,0,0,202,0,178,0,743,6298,216,494,0,1212,0,147,0,1608,1301,1303,128,213,0,979,272,123,434,165,287,0,0,0
"d423ac2aa4e440c0eedff454063c9ae7",6,2144,4607,5977,1673,1552,1164,1758,0,0,0,0,0,0,20,19,0,1890,614,525,1353,0,3,84,313,73,7,0,0,23,4,103,0,55,599,0,0,0,0,0,0,0,0,0,0,19,0,1349,0,0
"4db6a4d269192ae9aeafd9db5f2a4fb3",0,0,0,0,64,51,109,53,2079,4323,2916,0,6351,2543,2439,1018,2889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e60516db097ae5dfe23434c7f59fed9d",2657,0,0,0,0,0,0,0,119,17,15,2795,130,0,0,216,31,135,0,0,0,0,2241,0,0,0,0,0,0,0,0,0,0,2873,0,0,0,0,0,0,0,0,0,1637,4811,3321,3747,0,0,0
"a39ba8b94eacb850e45f52b3b063a462",483,2709,2769,2818,1772,1342,2792,1285,418,9,7,644,33,0,14,78,3,949,345,287,143,22,400,556,70,17,2,6,3,25,0,5,0,483,57,0,0,0,8,0,0,0,0,374,1030,665,617,1416,0,0
"dc51e63c691abe084ba2d8dea0861071",38,0,0,0,0,0,0,0,11,0,0,303,10,0,0,0,12,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,91,0,6768,6598,26,252,25,0,270,8119,92,768,91,342,0,0,0
"5a6270661dbcdcb3776a66d5187a7fdd",0,0,0,0,0,0,0,0,0,191,0,0,116,0,26,13,0,16883,0,24,12,0,0,0,6106,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4fd7598be37bf392d9f8c1c9152c07db",1182,0,0,0,0,0,0,0,212,28,72,1670,22,0,44,119,33,0,0,0,0,0,2579,0,0,0,0,0,0,0,0,0,0,2302,0,0,0,0,0,0,0,0,0,1016,4599,3633,4967,11,0,0
"28292a0985dd9fcb6abf1f34e25dfef5",5527,0,0,0,0,0,0,147,26,19,10,0,2,0,0,123,31,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,1947,88,6,16,0,4,0,0,23,0,12553,827,0,0,27,0,0
"d7d0f7d863512fdaa48a2ff66a8e21e8",1415,0,0,0,0,0,0,0,0,0,55,2278,0,0,0,0,0,0,0,0,133,0,2284,115,0,0,0,0,0,0,0,0,0,2231,0,0,0,0,0,0,0,0,0,954,2967,2824,2995,0,0,0
"a25e162917132b17a2e85578d39b1a45",2452,0,47,55,76,54,34,49,31,15,31,3060,32,0,0,65,76,0,40,0,0,0,1370,0,0,0,0,0,0,0,0,0,0,1507,0,0,0,0,0,0,0,0,0,1076,3704,2690,1633,43,0,0
"7dc1b37393580ddf93cc3cfba10fc781",0,0,0,0,0,0,94,0,4859,456,6590,0,2507,221,1585,677,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97b3e003e94cdf6794ed34cee2eee66e",303,1912,1341,1434,1270,770,527,587,29,119,0,876,0,0,111,68,19,187,363,234,106,0,521,39,966,0,0,0,0,0,14,47,0,477,202,0,0,0,0,9,0,0,0,218,492,682,1670,876,0,0
"298eeb88f720911f4d0c4470e2bf1ed5",74,3010,1642,2269,1295,782,1463,759,0,0,0,194,0,0,13,11,0,1121,63,154,330,50,119,0,200,142,45,0,0,0,0,0,0,286,75,0,0,0,0,0,0,0,0,96,418,219,262,1217,0,0
"85ece1aca5ebb7b2287b4daf5748930e",0,1751,2539,2815,1845,1571,1146,982,0,12,0,0,0,0,0,56,0,1001,316,416,0,10,0,0,17,24,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,1336,0,0
"0214f77c97b534f865dc5e077d8167dd",540,0,0,0,0,0,9,0,14,36,0,1085,0,0,0,0,0,0,0,0,0,0,3084,0,0,0,0,0,0,0,0,0,0,867,0,0,0,0,0,0,0,0,0,553,5418,2886,1301,0,0,0
"739b85470a064df6695453f886146d77",281,0,0,0,0,0,0,0,20,44,21,458,30,2,24,55,22,0,0,0,0,0,711,0,0,0,0,0,0,0,0,0,0,9354,0,0,0,0,0,0,0,0,0,530,1078,1114,888,0,0,0
"cf5312980867f908f9a9db554a01c7e2",0,2812,1846,2067,1185,1125,777,965,0,0,0,11,0,0,0,0,22,443,145,190,262,123,18,148,79,17,15,0,11,34,16,294,19,24,789,0,0,0,0,0,0,0,0,8,40,15,33,918,0,0
"bfd341e04e6fa5f74af047c8e7b8999a",0,1485,2092,2012,1625,1535,426,880,0,0,0,8,15,0,0,0,88,574,561,287,138,39,0,51,87,12,0,22,9,24,12,157,29,4,879,0,0,0,0,0,0,0,0,5,6,11,0,1100,0,0
"24e74d80a14c45a5cf5d90ec5a781cc7",467,957,731,637,591,534,1100,455,23,0,0,773,48,0,51,234,94,98,173,189,314,64,672,22,85,0,0,0,0,11,0,0,0,535,0,0,0,0,44,0,0,18,0,437,1024,2320,699,500,0,0
"3d8ec7b904518a8fb822d86c44b80235",686,253,356,150,277,188,148,136,0,1451,21,708,0,0,0,0,0,107,0,0,0,0,1082,0,0,0,0,0,0,0,0,1814,0,747,0,0,0,100,0,0,0,0,0,551,1318,1868,1021,312,0,0
"25659cf9b575c0e6fe170b0e0460abd7",536,77,130,471,204,120,397,80,0,18,0,1855,128,0,0,164,131,443,0,0,0,0,1278,0,0,0,0,0,0,0,0,0,0,1310,0,0,0,0,0,0,0,0,0,1203,1490,1645,1349,76,0,0
"b6c3cadfd1f737d4e11a4ce1b7b820fc",638,0,0,94,0,37,12,0,17,0,16,142,29,0,28,49,27,26,0,0,0,0,105,0,76,0,11,264,89,85,0,76,0,157,63,2955,3020,541,180,845,997,987,533,232,187,120,247,0,0,0
"f15431d5502bfecff00cb6cbe31827a2",408,922,1166,1002,988,575,1042,554,0,4,0,545,0,0,0,17,43,146,81,48,29,10,957,0,27,0,0,0,0,0,0,0,0,442,60,0,0,0,0,0,0,0,0,520,662,1045,905,568,0,0
"73eac0fdd857c0de4bd0463ca592221d",608,7,18,18,13,0,10,23,40,13,15,822,30,0,23,36,0,0,0,0,0,0,674,0,0,0,0,0,0,0,0,0,5,855,18,20,16,67,19,23,37,176,17,460,6857,1039,710,0,0,0
"dc2d1dcb466dbc2d1e105a25eaba213c",0,47,24,53,252,39,20,34,0,0,0,0,0,0,0,0,0,31,43,55,0,0,0,0,53,14,2172,5791,294,1467,233,0,203,0,8,0,0,0,0,0,0,181,0,0,0,0,0,40,0,0
"a70f8928b4dd4935ef251423c8926732",235,10,22,0,0,0,13,0,0,0,23,1376,0,0,0,43,0,0,0,0,0,0,813,0,0,0,0,0,0,0,0,23,0,853,0,0,0,0,0,0,0,0,0,579,1867,1225,3744,0,0,0
"79225126e997063ac8b997fc724de769",0,1725,1401,1302,1005,620,290,568,0,0,0,0,0,0,0,0,0,313,222,167,165,12,0,21,33,12,21,12,0,14,25,923,23,0,1204,0,0,0,0,0,0,0,0,0,0,0,0,639,0,0
"70f25953137625f7d93448a323ac0df2",43,509,799,0,331,517,637,414,12,0,14,446,7,121,21,17,0,25,76,121,58,0,2796,0,0,0,0,0,0,0,0,14,0,569,102,0,0,0,0,0,5,0,0,216,557,580,684,481,0,0
"27878c4772753dab512118a60ad5170d",0,0,0,0,0,0,5048,0,8,0,0,0,48,0,0,0,0,0,0,0,0,0,0,11,0,22,2454,0,0,0,0,2230,47,0,128,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0
"828ab9b7d289116e1c87179a0ae93ba8",57,934,1194,1321,1820,489,353,627,0,3,0,77,0,0,0,0,0,280,169,175,97,6,310,27,77,19,0,10,0,6,8,250,10,106,402,0,0,0,0,0,0,0,0,61,198,187,256,558,0,0
"84ef085f1563032e5e339acfc5f30811",31,52,55,30,78,52,70,29,0,0,0,12,0,0,15,0,0,9,56,81,0,0,21,8,32,0,188,176,282,931,131,6504,15,0,0,59,81,0,607,0,0,0,0,10,27,21,11,36,0,0
"2478d9c43912c93848e329426aa12347",306,410,1029,1169,682,422,819,553,6,0,0,386,0,0,0,0,0,167,0,17,85,0,149,1012,39,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,292,481,216,276,752,0,0
"751fa0a9637001c80791eb0f5536ffed",318,66,44,0,0,0,14,54,0,16,0,129,0,0,22,0,147,41,0,14,0,0,248,0,37,0,0,0,100,0,38,0,1623,466,107,526,542,38,2231,38,423,614,1186,0,59,0,19,26,0,0
"b3b30aec1a7beb9fa62e68f1a09af64f",195,48,184,210,181,172,175,181,56,0,0,0,0,0,0,124,21,155,94,121,29,0,40,0,88,26,10,82,464,2149,100,543,492,0,1116,58,75,25,541,25,96,426,455,222,0,90,0,0,0,0
"cff39502485c43bde3548dd804b443ed",412,15,15,29,10,9,5,0,37,8,35,492,22,4,12,71,25,12,0,8,17,0,825,0,0,0,0,0,0,0,0,0,0,569,30,22,37,6,12,21,49,22,11,130,1135,2216,2692,30,0,0
"bfc971e6bcd39e76a900a49d8e3f449c",0,0,0,0,55,85,47,63,377,341,522,0,283,2081,2992,1253,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cb1dcf3034aff55fc21d7189c87f1ebb",330,62,122,196,133,58,97,47,17,0,11,678,0,0,9,40,42,0,0,17,0,0,719,0,0,0,10,19,0,59,15,104,0,678,229,22,24,18,16,5,107,0,0,508,1101,974,1727,61,0,0
"e63a86149958695048dd42c6dda2a051",148,0,14,90,12,0,164,3,27,0,42,1605,111,0,137,22,96,6,15,34,19,0,74,0,0,0,0,0,0,0,0,0,0,1146,0,13,30,0,11,0,22,5,0,913,19,2761,553,132,0,0
"fd013afa11e16f3ef30b692bcfc502d4",1744,0,0,0,0,0,0,0,26,0,0,1160,50,0,0,73,86,0,0,0,0,0,863,0,0,0,0,0,0,0,0,0,0,2189,0,33,52,0,0,0,0,0,0,408,13,721,461,0,0,0
"fe89a0f2bc751cd41c11ef60989393f8",0,0,0,0,0,0,0,0,182,0,0,0,0,0,10,25,0,0,0,0,0,0,0,7341,0,191,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"4b5cfbc96c425acc45b6ce7077cff72b",29,44,43,6,25,30,102,40,1579,13,196,126,1707,120,2680,60,37,0,23,14,17,0,179,0,0,0,0,0,0,0,0,0,0,123,10,0,0,0,46,0,0,0,0,65,134,136,138,14,0,0
"9b7de8bb4c7b2bf84e7b107f3e511394",373,210,333,902,166,159,192,168,0,0,21,769,0,0,311,111,0,0,0,0,0,0,393,0,0,0,0,0,0,0,0,0,0,533,0,0,0,8,0,0,0,0,0,496,1013,681,617,130,0,0
"c7fc44b6997a0b2dc2ad77d9423eb06d",49,84,92,126,89,52,133,522,0,2977,0,47,0,0,0,0,0,566,0,68,0,0,46,0,782,0,0,0,0,142,75,0,0,0,0,162,124,81,674,210,146,0,82,0,71,0,48,64,0,0
"67cf8b37840048d961f193b59f83f7cd",20,737,1195,1322,683,406,456,610,0,0,0,17,0,0,0,0,0,310,99,241,60,0,0,0,25,0,0,0,0,0,0,0,0,21,112,0,0,0,0,0,0,0,0,30,31,14,17,479,0,0
"a080206018aa2c814f937f6177565a1a",103,903,677,588,382,345,227,293,4,0,0,178,0,19,0,27,34,138,53,80,53,0,482,8,21,5,0,0,0,3,13,21,8,247,133,0,0,7,0,0,0,0,0,154,367,427,329,423,0,0
"c482cf5b6fd6c33f451b4ca49f6afec7",0,544,1324,848,634,464,1452,573,0,0,0,13,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,73,0,0,484,0,0
"c02215c3ba75beeaf277d143a8fc9003",172,555,515,428,405,384,411,276,12,0,0,267,7,91,3,20,9,98,60,93,23,0,308,6,26,62,0,0,2,0,0,0,0,324,42,0,0,0,0,0,0,0,0,212,447,396,341,304,0,0
"0a772036be5f88b1bfbee4b6c4dc39e5",315,87,77,71,150,0,83,45,15,5,10,658,11,7,13,81,0,25,0,0,0,0,636,0,0,0,0,0,0,0,0,0,0,702,0,0,0,0,10,0,0,0,0,409,1163,691,937,53,0,0
"fe6e0d84335c1c1de1b254c8c3bcd054",0,112,90,133,113,47,193,376,0,270,0,0,0,0,0,0,0,1878,0,0,79,0,0,0,0,0,204,0,1753,0,0,0,130,0,0,169,136,0,365,0,79,0,0,0,0,0,0,64,0,0
"74220d7cc188f03b9899d837f2f58e89",0,20,62,122,65,20,0,5665,0,0,0,0,0,0,0,0,0,52,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0
"0e7d9405ca545de2522cfd861958e2b6",9,0,0,0,0,0,0,0,9,0,0,0,0,44,27,440,92,158,87,39,3176,52,0,397,220,66,18,23,76,80,207,110,15,0,234,4,14,54,0,0,133,0,138,0,0,0,0,0,0,0
"dbfc2224b41f2f071f48f66a6734f70e",319,4,33,0,10,4,13,5,15,0,13,771,4,0,19,46,16,3,0,0,0,0,621,0,0,0,0,0,0,0,0,0,0,534,0,0,3,0,8,0,0,0,0,478,1247,794,905,0,0,0
"133b9138327628a69e857b266bea0d9a",6,462,638,849,902,362,213,337,0,0,0,22,0,0,3,16,0,174,65,88,97,0,19,0,60,0,11,23,14,147,47,246,37,14,406,0,10,0,0,0,0,0,0,0,24,26,19,405,0,0
"4bfe433f48f73e43b61f3fac649b3279",71,614,477,396,417,340,522,276,0,0,0,1105,8,0,0,0,0,102,60,79,32,0,114,0,45,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,69,250,140,120,252,0,0
"8faf977eab30e229c4ba0eec5059a410",0,624,877,570,481,458,314,412,0,0,9,0,17,0,0,0,0,211,135,170,110,125,0,80,145,277,0,2,0,0,5,20,0,0,36,0,0,0,0,0,0,0,0,0,0,7,0,424,0,0
"eced5e02a199e08d04a9af3ac661185d",0,671,682,795,495,410,1015,304,0,0,0,0,0,0,0,0,0,0,202,95,172,0,0,111,48,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,358,0,0
"78e3972e4f963d32de308d167da5fd5b",0,476,546,572,381,225,1507,241,0,0,0,266,0,0,0,0,0,163,276,36,209,20,78,72,0,0,0,0,0,0,0,0,0,31,17,0,0,0,0,0,0,13,0,14,0,0,0,229,0,0
"e26835f664ce7f0253e2edd3648a6487",151,335,388,361,291,186,207,151,0,314,0,234,0,0,0,0,24,432,0,74,0,0,316,23,296,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,157,313,250,510,216,0,0
"672ca780f466a57e6de60d4ec9dcb741",0,64,0,1504,292,119,0,0,0,0,0,0,0,0,0,0,0,495,116,0,84,0,0,0,0,0,131,87,41,382,439,753,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,766,0,0
"97af696ad96ceb598c731d77297e77a6",89,30,82,225,33,27,61,39,39,51,44,25,737,0,74,37,0,82,49,0,140,2722,33,278,38,0,0,0,0,0,0,0,0,34,59,0,0,0,0,0,0,0,0,20,58,56,23,40,0,0
"e486d1c81647ae446a4e1b39c77e8602",0,687,627,864,310,185,444,184,0,0,0,0,0,0,0,0,0,1058,305,0,0,0,59,0,63,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,43,0,0,277,0,0
"2ada98f50bd767e818ac1b1f2449170b",0,958,1003,47,389,519,1147,390,0,0,0,15,0,0,0,0,0,17,32,56,23,0,7,0,4,0,0,0,0,0,0,5,0,5,37,0,0,0,0,0,0,0,0,0,8,10,0,396,0,0
"432c5a1912c1b64d4dcf1cd2d0cf56f7",526,0,0,0,0,0,0,0,0,0,0,488,37,0,0,41,27,0,0,0,0,0,547,0,0,0,0,0,0,0,0,0,0,568,0,0,0,0,0,7,0,0,0,376,1008,642,749,0,0,0
"7fbb93d82e4abea98be2b43aa3e311fd",24,45,87,175,83,56,84,76,2015,154,21,0,116,0,89,17,50,549,713,73,38,0,33,46,23,0,0,0,0,0,0,67,0,29,0,34,36,56,0,0,35,23,0,0,55,0,45,69,0,0
"1faac684392066f7419b75837da96151",49,558,601,684,540,241,284,192,0,0,0,49,0,0,0,0,6,91,79,85,30,4,93,11,17,7,0,35,13,25,13,36,0,72,119,0,0,0,0,0,0,0,0,55,96,87,94,351,0,0
"7c9fe99df5d392ce69e67bc04e2464bc",206,0,0,66,0,0,0,0,0,0,0,251,6,0,29,57,0,0,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,666,0,0,0,0,0,0,0,0,0,321,1300,690,527,0,0,0
"49f6878c5ab575efee6d8aaea8f55a9e",0,389,638,533,334,410,138,363,0,0,0,0,0,0,0,0,0,768,17,78,20,0,0,0,57,0,14,0,0,0,13,117,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,441,0,0
"fcf4c4f9aed4588646362e8d29ab0827",0,0,61,120,0,0,70,0,0,0,0,0,0,0,0,2760,0,0,0,244,0,1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"917d93217272ff18a847ae06f04c732a",0,34,32,58,93,52,72,48,0,0,0,0,0,0,0,0,0,0,24,23,0,0,0,0,0,6,0,0,0,0,0,3692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
"ed6dfb8c2deef96b11b6ef1b6c5cd878",240,75,135,116,149,44,39,53,13,0,6,393,0,0,0,25,0,38,0,18,0,0,538,0,0,0,0,0,0,0,0,0,0,372,5,0,0,0,0,0,0,0,0,195,486,517,546,58,0,0
